line,line_full,n_dmso,n_idasanutlin,n_total,resp,dc_d,dc_i,gain
LNCAPCLONEFGC,LNCAPCLONEFGC_PROSTATE,100,152,252,4.099484453365722,0.1211625247078065,0.3764989112603608,0.2553363865525543
CCFSTTG1,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,97,126,223,3.3283329165386695,0.18260579245415176,0.2714765394356485,0.08887074698149672
DKMG,DKMG_CENTRAL_NERVOUS_SYSTEM,66,97,163,3.233956980202647,0.15285193977319658,0.1781636648483716,0.025311725075175012
NCIH226,NCIH226_LUNG,79,134,213,2.657474507484293,0.15148187777593414,0.21377182040045858,0.06228994262452445
RCC10RGB,RCC10RGB_KIDNEY,81,133,214,1.9722797362611275,0.3535773203047758,0.3439726568836625,-0.009604663421113269
SNU1079,SNU1079_BILIARY_TRACT,81,132,213,1.939872626539943,0.3011611982505499,0.2185998064987159,-0.08256139175183397
SKMEL2,SKMEL2_SKIN,92,110,202,0.3180587739899977,0.07196127170512387,0.20109795463685365,0.12913668293172978
CAOV3,CAOV3_OVARY,79,93,172,0.28234531552282444,0.2070610719695979,0.1450764214688546,-0.06198465050074328
COLO680N,COLO680N_OESOPHAGUS,81,91,172,0.25005392554039585,0.08978638634615638,0.09841215264616307,0.008625766300006693
SQ1,SQ1_LUNG,67,102,169,0.19221854332632562,0.19046462922194227,0.0789496390188987,-0.11151499020304356
BICR31,BICR31_UPPER_AERODIGESTIVE_TRACT,171,238,409,0.18895260505435163,0.08470239051287255,0.05325848209411222,-0.03144390841876033
UMUC1,UMUC1_URINARY_TRACT,52,87,139,0.18263735715842322,0.11000681288230744,0.1339691364014472,0.023962323519139753
BT549,BT549_BREAST,61,111,172,0.176833352855575,0.4818835939213039,0.1369640185862019,-0.344919575335102
BT474,BT474_BREAST,63,67,130,0.1427272598842172,0.1214543160905478,0.20441052008921448,0.08295620399866668
RCM1,RCM1_LARGE_INTESTINE,65,81,146,0.12106035752386901,0.4675031143900732,0.1807405379975465,-0.28676257639252667
IALM,IALM_LUNG,59,85,144,0.09675389308094065,0.18849050315694296,0.21615230325674348,0.027661800099800515
SH10TC,SH10TC_STOMACH,56,110,166,0.09647796227300004,0.13698299049728385,0.114888183952934,-0.02209480654434985
SKMEL3,SKMEL3_SKIN,131,133,264,0.09504041823446704,0.05621932792214601,0.06939045346732868,0.013171125545182669
RERFLCAD1,RERFLCAD1_LUNG,77,99,176,0.09140847360923551,0.10820379435870073,0.05702394565108952,-0.051179848707611206
TEN,TEN_ENDOMETRIUM,90,143,233,0.08005060633238627,0.07430773820282341,0.06952105123353926,-0.004786686969284151
LS1034,LS1034_LARGE_INTESTINE,101,92,193,0.048546843729303235,0.12310721738286715,0.15064953368313985,0.027542316300272707
NCIH2347,NCIH2347_LUNG,60,89,149,0.037225469225912855,0.1685295127791542,0.20319405453906114,0.034664541759906936
